id,title,artist,label,year,number of disks
1,Mellon Collie and the Infinite Sadness,The Smashing Pumpkins,Virgin,1995,2
2,Siamese Dream,The Smashing Pumpkins,Virgin,1993,1
3,Gish,The Smashing Pumpkins,Caroline,1991,1
4,Adore,The Smashing Pumpkins,Virgin,1998,1
5,Machina/The Machines of God,The Smashing Pumpkins,Virgin,2000,1
6,Machina II/The Friends & Enemies of Modern Music,The Smashing Pumpkins,Constantinople,2000,4
7,Zeitgeist,The Smashing Pumpkins,Reprise,2007,1
8,Shiny and Oh So Bright Vol. 1 / LP: No Past. No Future. No Sun.,The Smashing Pumpkins,Napalm,2018,1
9,30 Seconds to Mars,Thirty Seconds To Mars,Virgin,2002,1
10,A Beautiful Lie,Thirty Seconds To Mars,Virgin,2005,1
11,This Is War,Thirty Seconds To Mars,Virgin,2009,1
12,"Love, Lust, Faith and Dreams",Thirty Seconds To Mars,Virgin,2013,1
13,America,Thirty Seconds To Mars,Virgin,2018,1
14,Mer de Noms,A Perfect Circle,Virgin,2000,1
15,Thirteenth Step,A Perfect Circle,Virgin,2003,1
16,Emotive,A Perfect Circle,Virgin,2004,1
17,Eat the Elephant,A Perfect Circle,BMG,2018,1
18,Showbiz,Muse,Mavrick,1999,1
19,Origin of Symmetry,Muse,Mushroom,2001,1
20,Absolution,Muse,Warner Bros.,2003,1
21,Black Holes and Revelations,Muse,Warner Bros.,2006,1
22,The Resistance,Muse,Warner Bros.,2009,1
23,The 2nd Law,Muse,Warner Bros.,2012,1
24,Drones,Muse,Warner Bros.,2015,1
25,Simulation Theory,Muse,Warner Bros.,2018,1
26,"I Brought You My Bullets, You Brought Me Your Love",My Chemical Romance,Eyeball,2002,1
27,Three Cheers for Sweet Revenge,My Chemical Romance,Reprise,2004,1
28,The Black Parade,My Chemical Romance,Reprise,2006,1
29,Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance,Reprise,2010,1
30,Bad Blood,Bastille,Virgin,2013,1
31,Wild World,Bastille,Virgin,2016,1
32,Doom Days,Bastille,Virgin,2019,1
33,Hybrid Theory,Linkin Park,Warner Bros.,2000,1
34,Meteora,Linkin Park,Warner Bros.,2003,1
35,Minutes to Midnight,Linkin Park,Warner Bros.,2007,1
36,A Thousand Suns,Linkin Park,Warner Bros.,2010,1
37,Living Things,Linkin Park,Warner Bros.,2012,1
38,The Hunting Party,Linkin Park,Warner Bros.,2014,1
39,One More Light,Linkin Park,Warner Bros.,2017,1
40,"Old World Underground, Where Are You Now?",Metric,Last Gang,2003,1
41,Live It Out,Metric,Last Gang,2005,1
42,Grow Up and Blow Away,Metric,Last Gang,2007,1
43,Fantasies,Metric,Last Gang,2009,1
44,Synthetica,Metric,Mom + Pop Music,2012,1
45,Pagans in Vegas,Metric,Universal Music Group,2015,1
46,Art of Doubt,Metric,BMG,2018,1
47,The Bones of What You Believe,Chvrches,Virgin,2013,1
48,Every Open Eye,Chvrches,Virgin,2015,1
49,Love Is Dead,Chvrches,Virgin,2018,1
50,A Fever You Can't Sweat Out,Panic! At the Disco,Fueled by Ramen,2005,1
51,Pretty. Odd.,Panic! At the Disco,Fueled by Ramen,2008,1
52,Vices & Virtues,Panic! At the Disco,Fueled by Ramen,2011,1
53,"Too Weird to Live, Too Rare to Die!",Panic! At the Disco,Fueled by Ramen,2013,1
54,Death of a Bachelor,Panic! At the Disco,Fueled by Ramen,2016,1
55,Pray for the Wicked,Panic! At the Disco,Fueled by Ramen,2018,1
56,All We Know Is Falling,Paramore,Fueled by Ramen,2005,1
57,Riot!,Paramore,Fueled by Ramen,2007,1
58,Brand New Eyes,Paramore,Fueled by Ramen,2009,1
59,Paramore,Paramore,Fueled by Ramen,2013,1
60,After Laughter,Paramore,Fueled by Ramen,2017,1
61,Lights,Ellie Goulding,Polydor,2010,1
62,Halcyon,Ellie Goulding,Polydor,2012,1
63,Delirium,Ellie Goulding,Polydor,2015,1
64,+,Ed Sheeran,Atlantic,2011,1
65,x,Ed Sheeran,Atlantic,2014,1
66,÷,Ed Sheeran,Atlantic,2017,1
67,No.6 Collaborations Project,Ed Sheeran,Atlantic,2019,1
